       Epoch  Generator Loss  Discriminator Loss
735      735       -0.022273           -0.248098
736      736       -0.050705           -0.055843
737      737       -0.060581           -0.064638
738      738        0.018985            0.021866
739      739       -0.252952           -0.149384
740      740       -0.148380           -0.061568
741      741       -0.168781            0.200552
742      742       -0.246165           -0.172612
743      743       -0.164916           -0.039236
744      744       -0.283689            0.060346
745      745       -0.126099           -0.158638
746      746       -0.188856           -0.034902
747      747       -0.080815            0.010478
748      748       -0.122035            0.040015
749      749       -0.175868           -0.156922
750      750       -0.440034           -0.005135
751      751       -0.344514           -0.216786
752      752       -0.273041           -0.220733
753      753       -0.156662            0.029026
754      754        0.020588           -0.042540
755      755       -0.009979           -0.091331
756      756        0.047915           -0.173892
757      757       -0.320165           -0.037071
758      758       -0.350507            0.060449
759      759       -0.267105           -0.283687
760      760       -0.114879           -0.173037
761      761       -0.143921           -0.160850
762      762        0.167666           -0.055612
763      763        0.000723           -0.097551
764      764       -0.147012           -0.227197
765      765       -0.372514            0.158101
766      766       -0.188783           -0.053674
767      767       -0.127855           -0.046377
768      768       -0.090304           -0.040083
769      769       -0.057111           -0.085263
770      770       -0.094406           -0.056318
771      771       -0.177935           -0.202193
772      772       -0.372290            0.013575
773      773       -0.303613           -0.001942
774      774       -0.025128           -0.078667
775      775       -0.033209           -0.122419
776      776        0.055140            0.132732
777      777       -0.196585           -0.014726
778      778       -0.278998           -0.042245
779      779       -0.323757            0.167744
780      780       -0.099708           -0.055776
781      781       -0.180250            0.009802
782      782       -0.083420           -0.098357
783      783       -0.058287            0.067311
784      784       -0.051759           -0.018139
785      785       -0.236571           -0.116150
786      786       -0.404066           -0.040931
787      787       -0.255294           -0.166921
788      788       -0.355620           -0.182257
789      789       -0.162129           -0.196766
790      790       -0.262237           -0.017847
791      791       -0.348998            0.047558
792      792       -0.412890            0.032376
793      793       -0.400738           -0.206000
794      794       -0.201627            0.018047
795      795       -0.163363           -0.210568
796      796       -0.087878           -0.014797
797      797       -0.299490           -0.127375
798      798       -0.462507           -0.107148
799      799       -0.533635           -0.141252
800      800       -0.484331           -0.085768
801      801       -0.078283           -0.185289
802      802       -0.027177            0.009858
803      803       -0.023306            0.164872
804      804       -0.141183           -0.016315
805      805       -0.350532           -0.079748
806      806       -0.291264           -0.159826
807      807       -0.206239           -0.113048
808      808       -0.134755           -0.213903
809      809       -0.090336            0.235807
810      810       -0.150032           -0.097760
811      811       -0.392842            0.025125
812      812       -0.353134            0.049289
813      813       -0.299326           -0.161607
814      814       -0.211481           -0.005291
815      815       -0.098694           -0.103630
816      816       -0.303100           -0.163540
817      817       -0.318829           -0.033198
818      818       -0.402135           -0.145094
819      819       -0.322032           -0.168257
820      820       -0.160445           -0.011492
821      821       -0.136691           -0.032614
822      822       -0.139648            0.064381
823      823       -0.169610           -0.242945
824      824       -0.241381           -0.145212
825      825       -0.539518           -0.280073
826      826       -0.344450           -0.086477
827      827       -0.345694           -0.122081
828      828       -0.294360           -0.195223
829      829       -0.280495            0.199883
830      830       -0.394801           -0.161789
831      831       -0.335892           -0.039181
832      832       -0.430196            0.060600
833      833       -0.116178           -0.030050
834      834       -0.235012            0.102001
835      835       -0.265804           -0.125305
836      836       -0.225207           -0.172030
837      837       -0.516683           -0.194091
838      838       -0.384222           -0.214481
839      839       -0.429330           -0.178438
840      840       -0.242060           -0.158485
841      841       -0.122476            0.206639
842      842       -0.152601           -0.176669
843      843       -0.329457           -0.031806
844      844       -0.294716           -0.257000
845      845       -0.404202            0.114062
846      846       -0.478386           -0.046128
847      847       -0.321638           -0.026789
848      848       -0.056538           -0.096434
849      849       -0.090155           -0.014040
850      850       -0.134597           -0.014429
851      851       -0.151870           -0.120286
852      852       -0.214825           -0.090712
853      853       -0.227227           -0.031625
854      854       -0.246087           -0.077601
855      855        0.101788           -0.012294
856      856       -0.228064           -0.013834
857      857       -0.146689            0.018219
858      858       -0.273044           -0.166074
859      859       -0.383526           -0.244066
860      860       -0.342015           -0.015173
861      861       -0.210161           -0.027991
862      862       -0.058149            0.004440
863      863       -0.137258           -0.050740
864      864       -0.144843            0.140847
865      865       -0.159357           -0.120916
866      866       -0.352374           -0.070835
867      867       -0.086439           -0.138529
868      868       -0.003630            0.067723
869      869       -0.365462           -0.128739
870      870       -0.379880           -0.031658
871      871       -0.298434            0.002480
872      872       -0.259023           -0.122252
873      873       -0.240922            0.043092
874      874       -0.124094            0.007850
875      875       -0.243149            0.005910
876      876       -0.351169           -0.144815
877      877       -0.212203           -0.146476
878      878       -0.133234           -0.116130
879      879       -0.169239            0.080216
880      880       -0.075879           -0.212027
881      881       -0.183919           -0.055030
882      882       -0.186072           -0.072165
883      883       -0.153208           -0.126152
884      884       -0.340972            0.199008
885      885       -0.208514           -0.075415
886      886        0.023319           -0.002141
887      887        0.063460           -0.187396
888      888       -0.002662           -0.116514
889      889       -0.324694            0.100141
890      890       -0.279866            0.101714
891      891       -0.064985           -0.159850
892      892       -0.229381           -0.062483
